dttm,temp,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,rain_1h,rain_3h,snow_3h,clouds_all,weather_id,weather_main,weather_description,weather_icon,dttm,generation_biomass,generation_fossil_brown_coal_lignite,generation_fossil_coal_derived_gas,generation_fossil_gas,generation_fossil_hard_coal,generation_fossil_oil,generation_fossil_oil_shale,generation_fossil_peat,generation_geothermal,generation_hydro_pumped_storage_consumption,generation_hydro_run_of_river_and_poundage,generation_hydro_water_reservoir,generation_marine,generation_nuclear,generation_other,generation_other_renewable,generation_solar,generation_waste,generation_wind_offshore,generation_wind_onshore,forecast_solar_day_ahead,forecast_wind_onshore_day_ahead,total_load_forecast,total_load_actual,price_day_ahead,price_actual
"2015-01-01 14:00:00+01:00",286.034,286.034,286.034,1039,60,4,53,0,0,0,0,800,clear,"sky is clear","1","2015-01-01 14:00:00+01:00",423,260,0,3779,4256,166,0,0,0,941,1028,1027,0,7097,40,76,3973,210,0,2945,3699,2851,25222,24672,47.35,62.06
"2015-01-01 15:00:00+01:00",286.994,286.994,286.994,1036,53,3,52,0,0,0,0,800,clear,"sky is clear","1","2015-01-01 15:00:00+01:00",421,183,0,3708,4038,160,0,0,0,1069,1023,1151,0,7096,40,76,3818,210,0,2709,3369,2822,24173,23528,43.61,59.76
"2015-01-01 16:00:00+01:00",283.561,283.561,283.561,1038,70,3,47,0,0,0,0,800,clear,"sky is clear","1","2015-01-01 16:00:00+01:00",422,256,0,3813,4191,163,0,0,0,970,1032,1156,0,7095,41,75,3088,211,0,2552,2615,2562,23659,23118,44.91,61.18
"2015-01-01 17:00:00+01:00",285.986,285.986,285.986,1033,54,3,47,0,0,0,0,800,clear,"sky is clear","1","2015-01-01 17:00:00+01:00",426,322,0,3967,4707,165,0,0,0,798,1036,1626,0,7095,41,75,1467,208,0,2699,1387,2578,23982,23606,48.1,64.74
"2015-01-01 18:00:00+01:00",284.017,284.017,284.017,1034,63,3,44,0,0,0,0,800,clear,"sky is clear","1","2015-01-01 18:00:00+01:00",427,282,0,4756,4756,164,0,0,0,1,1094,3203,0,7096,42,74,404,209,0,2764,399,2824,26981,26447,58.02,74.26
"2015-01-01 19:00:00+01:00",282.096,282.096,282.096,1039,68,3,51,0,0,0,0,800,clear,"sky is clear","1","2015-01-01 19:00:00+01:00",442,303,0,4410,4918,147,0,0,0,1,1153,5333,0,7096,42,76,139,208,0,2913,100,2801,28515,28020,61.01,74.24
"2015-01-01 20:00:00+01:00",280.12,280.12,280.12,1038,78,2,45,0,0,0,0,800,clear,"sky is clear","1","2015-01-01 20:00:00+01:00",445,318,0,4324,5025,154,0,0,0,0,1214,6183,0,7096,43,74,100,210,0,3118,44,2999,30482,29014,62.69,75.64
"2015-01-01 21:00:00+01:00",278.191,278.191,278.191,1042,84,2,51,0,0,0,0,800,clear,"sky is clear","01n","2015-01-01 21:00:00+01:00",443,325,0,4684,5043,154,0,0,0,0,1220,6231,0,7096,43,74,75,212,0,3373,26,3185,30739,29571,60.41,73.92
"2015-01-01 22:00:00+01:00",278.191,278.191,278.191,1042,84,2,51,0,0,0,0,800,clear,"sky is clear","01n","2015-01-01 22:00:00+01:00",440,322,0,4870,4990,154,0,0,0,0,1178,5359,0,7098,43,74,74,210,0,3508,13,3446,29756,29031,58.15,70.53
"2015-01-01 23:00:00+01:00",276.529,276.529,276.529,1043,83,2,33,0,0,0,0,800,clear,"sky is clear","01n","2015-01-01 23:00:00+01:00",438,320,0,4685,4942,160,0,0,0,0,1095,3511,0,7098,43,74,56,209,0,3527,14,3482,27589,26798,53.6,64.13
"2015-01-02 00:00:00+01:00",276.529,276.529,276.529,1043,83,2,33,0,0,0,0,800,clear,"sky is clear","01n","2015-01-02 00:00:00+01:00",368,0,0,3189,1291,193,0,0,0,1290,1268,3871,0,7106,45,62,54,169,0,13232,5,13329,27309,27070,10,64.02
"2015-01-02 01:00:00+01:00",276.529,276.529,276.529,1043,83,2,33,0,0,0,0,800,clear,"sky is clear","01n","2015-01-02 01:00:00+01:00",368,0,0,2902,1190,192,0,0,0,1996,1263,2996,0,7106,45,61,54,167,0,12760,35,12718,25397,24935,7,58.46
"2015-01-02 02:00:00+01:00",276.314,276.314,276.314,1043,85,3,44,0,0,0,0,800,clear,"sky is clear","01n","2015-01-02 02:00:00+01:00",358,0,0,2772,1023,189,0,0,0,2698,1246,2581,0,7107,44,60,54,167,0,12174,43,12375,23640,23214,5,54.7
"2015-01-02 03:00:00+01:00",276.314,276.314,276.314,1043,85,3,44,0,0,0,0,800,clear,"sky is clear","01n","2015-01-02 03:00:00+01:00",353,0,0,2936,1016,188,0,0,0,3269,1248,2933,0,7107,44,59,53,181,0,11358,32,11524,22638,22540,4,54.91
"2015-01-02 04:00:00+01:00",276.314,276.314,276.314,1043,85,3,44,0,0,0,0,800,clear,"sky is clear","01n","2015-01-02 04:00:00+01:00",354,0,0,2893,1103,189,0,0,0,3267,1233,2646,0,7106,44,61,53,181,0,11199,31,11310,22238,22096,4,53.07
"2015-01-02 05:00:00+01:00",275.827,275.827,275.827,1043,88,3,55,0,0,0,0,800,clear,"sky is clear","01n","2015-01-02 05:00:00+01:00",354,0,0,2889,1120,190,0,0,0,3258,1225,2529,0,7105,44,59,63,171,0,11152,26,11111,22299,22066,4.8,54.23
"2015-01-02 06:00:00+01:00",275.827,275.827,275.827,1043,88,3,55,0,0,0,0,800,clear,"sky is clear","01n","2015-01-02 06:00:00+01:00",357,0,0,2898,1167,189,0,0,0,3256,1241,2658,0,7105,44,60,55,185,0,11169,21,11303,22660,22275,5,58.22
"2015-01-02 07:00:00+01:00",275.827,275.827,275.827,1043,88,3,55,0,0,0,0,800,clear,"sky is clear","01n","2015-01-02 07:00:00+01:00",357,0,0,2938,1067,194,0,0,0,2987,1247,2706,0,7105,44,60,54,186,0,11205,136,11297,23449,23025,7.04,67.55
"2015-01-02 08:00:00+01:00",277.705,277.705,277.705,1045,85,3,56,0,0,0,0,800,clear,"sky is clear","01d","2015-01-02 08:00:00+01:00",359,0,0,2869,1098,196,0,0,0,2447,1274,3090,0,7105,44,59,116,183,0,10920,175,11048,24067,23699,7.04,70.33
"2015-01-02 09:00:00+01:00",277.705,277.705,277.705,1045,85,3,56,0,0,0,0,800,clear,"sky is clear","01d","2015-01-02 09:00:00+01:00",357,0,0,3090,1293,193,0,0,0,1907,1297,3579,0,7107,44,59,1039,188,0,10491,1092,10711,25737,25834,7.88,71.26
"2015-01-02 10:00:00+01:00",277.705,277.705,277.705,1045,85,3,56,0,0,0,0,800,clear,"sky is clear","01d","2015-01-02 10:00:00+01:00",377,0,0,2844,1339,200,0,0,0,938,1319,4289,0,7107,45,60,2373,185,0,10156,2319,10379,27883,27927,10.71,75.86
"2015-01-02 11:00:00+01:00",285.845,285.845,285.845,1045,79,3,53,0,0,0,0,800,clear,"sky is clear","01d","2015-01-02 11:00:00+01:00",376,0,0,2699,1335,199,0,0,0,747,1333,4332,0,7106,44,59,3699,181,0,10421,3451,10423,28969,29072,10,73.65
"2015-01-02 12:00:00+01:00",285.845,285.845,285.845,1045,79,3,53,0,0,0,0,800,clear,"sky is clear","1","2015-01-02 12:00:00+01:00",376,0,0,2606,1336,197,0,0,0,864,1324,3619,0,7104,44,60,4154,177,0,11230,4005,10989,28894,29071,7.04,74.19
"2015-01-02 13:00:00+01:00",285.845,285.845,285.845,1045,79,3,53,0,0,0,0,800,clear,"sky is clear","01d","2015-01-02 13:00:00+01:00",373,0,0,2662,1341,208,0,0,0,906,1281,3392,0,7105,44,61,4074,183,0,11920,4120,11842,29460,29439,7,71.51
"2015-01-02 14:00:00+01:00",286.355,286.355,286.355,1042,74,3,52,0,0,0,0,800,clear,"sky is clear","1","2015-01-02 14:00:00+01:00",383,0,0,2729,1354,195,0,0,0,1047,1281,3487,0,7105,44,58,3851,190,0,11819,3794,12078,29389,29241,6.33,71.04
"2015-01-02 15:00:00+01:00",286.864,286.864,286.864,1038,70,4,51,0,0,0,0,800,clear,"sky is clear","1","2015-01-02 15:00:00+01:00",391,0,0,2599,1298,195,0,0,0,1491,1284,2984,0,7105,44,57,3619,188,0,11961,3479,11797,28231,27973,5,71.24
"2015-01-02 16:00:00+01:00",284.374,284.374,284.374,1040,81,3,52,0,0,0,0,800,clear,"sky is clear","1","2015-01-02 16:00:00+01:00",395,0,0,2996,1184,195,0,0,0,1975,1283,3104,0,7106,44,59,3024,188,0,12025,2788,12061,27716,27320,6.21,70.64
"2015-01-02 17:00:00+01:00",285.883,285.883,285.883,1036,72,4,51,0,0,0,0,800,clear,"sky is clear","1","2015-01-02 17:00:00+01:00",394,0,0,3696,1047,195,0,0,0,1760,1295,3102,0,7105,44,59,2053,185,0,12077,1786,12102,27981,27157,9.98,72.85
"2015-01-02 18:00:00+01:00",284.393,284.393,284.393,1036,78,3,51,0,0,0,0,800,clear,"sky is clear","1","2015-01-02 18:00:00+01:00",410,0,0,4760,1178,199,0,0,0,595,1324,3886,0,7106,44,64,769,178,0,11276,618,11451,30136,29045,33.15,82.55
"2015-01-02 19:00:00+01:00",282.695,282.695,282.695,1043,78,3,44,0,0,0,0,800,clear,"sky is clear","01n","2015-01-02 19:00:00+01:00",435,0,0,6030,1345,205,0,0,0,78,1352,5553,0,7104,44,68,266,199,0,10510,170,10619,32754,31967,50,83.33
"2015-01-02 20:00:00+01:00",280.995,280.995,280.995,1040,86,3,52,0,0,0,0,800,clear,"sky is clear","1","2015-01-02 20:00:00+01:00",435,0,0,5973,1354,214,0,0,0,68,1369,5604,0,7106,44,69,165,203,0,10406,104,10216,33968,33266,52.01,83.23
"2015-01-02 21:00:00+01:00",279.087,279.087,279.087,1044,89,3,52,0,0,0,0,800,clear,"sky is clear","01n","2015-01-02 21:00:00+01:00",437,0,0,6082,1348,215,0,0,0,68,1370,5902,0,7107,45,69,137,204,0,10445,93,10470,33870,33668,50.01,79.06
"2015-01-02 22:00:00+01:00",279.087,279.087,279.087,1044,89,3,52,0,0,0,0,800,clear,"sky is clear","01n","2015-01-02 22:00:00+01:00",437,0,0,5747,1429,217,0,0,0,68,1365,5347,0,7107,45,66,137,204,0,9976,92,10112,32715,32426,45.8,76.2
"2015-01-02 23:00:00+01:00",279.087,279.087,279.087,1044,89,3,52,0,0,0,0,800,clear,"sky is clear","01n","2015-01-02 23:00:00+01:00",443,0,0,4177,1432,220,0,0,0,68,1323,4969,0,7108,45,64,137,203,0,9527,81,9560,30052,29705,41.74,71.75
"2015-01-03 00:00:00+01:00",278.21,278.21,278.21,1040,90,3,54,0,0,0,0,800,clear,"sky is clear","1","2015-01-03 00:00:00+01:00",478,0,0,3801,1798,246,0,0,0,502,1423,3719,0,7096,78,76,62,201,0,9264,2,9313,26323,25564,35.62,66.82
"2015-01-03 01:00:00+01:00",277.333,277.333,277.333,1044,87,3,56,0,0,0,0,800,clear,"sky is clear","01n","2015-01-03 01:00:00+01:00",463,0,0,3812,1351,245,0,0,0,1048,1392,3482,0,7095,78,68,62,198,0,9135,0,9215,24301,23584,27.1,63.35
"2015-01-03 02:00:00+01:00",277.333,277.333,277.333,1044,87,3,56,0,0,0,0,800,clear,"sky is clear","01n","2015-01-03 02:00:00+01:00",452,0,0,3745,1258,244,0,0,0,1880,1296,3060,0,7096,79,66,61,201,0,9362,0,9196,22651,22194,25,58.79
"2015-01-03 03:00:00+01:00",276.217,276.217,276.217,1044,85,2,45,0,0,0,0,800,clear,"sky is clear","01n","2015-01-03 03:00:00+01:00",454,0,0,3638,1196,244,0,0,0,2441,1245,2474,0,7098,79,68,61,208,0,9628,2,9502,21785,21296,20.01,57.44
"2015-01-03 04:00:00+01:00",276.217,276.217,276.217,1044,85,2,45,0,0,0,0,800,clear,"sky is clear","01n","2015-01-03 04:00:00+01:00",449,0,0,3515,1138,202,0,0,0,2767,1221,2266,0,7097,78,67,61,201,0,9607,2,9617,21418,21145,17.1,55.29
"2015-01-03 05:00:00+01:00",276.217,276.217,276.217,1044,85,2,45,0,0,0,0,800,clear,"sky is clear","01n","2015-01-03 05:00:00+01:00",453,0,0,3626,1180,189,0,0,0,2953,1212,2449,0,7098,79,66,61,188,0,9666,1,9619,21317,21316,17.22,56.22
"2015-01-03 06:00:00+01:00",275.319,275.319,275.319,1044,84,2,44,0,0,0,0,800,clear,"sky is clear","01n","2015-01-03 06:00:00+01:00",458,0,0,3556,1246,188,0,0,0,2744,1215,2620,0,7099,77,68,61,187,0,9743,1,9733,21768,21674,20.14,58.13
"2015-01-03 07:00:00+01:00",275.319,275.319,275.319,1044,84,2,44,0,0,0,0,800,clear,"sky is clear","01n","2015-01-03 07:00:00+01:00",452,0,0,3524,1175,190,0,0,0,2279,1295,2559,0,7098,77,67,63,186,0,9401,37,9455,22276,22127,19.87,62.06
"2015-01-03 08:00:00+01:00",275.319,275.319,275.319,1044,84,2,44,0,0,0,0,800,clear,"sky is clear","01n","2015-01-03 08:00:00+01:00",438,0,0,4000,1249,190,0,0,0,2152,1295,3335,0,7097,77,66,233,186,0,8363,364,8564,22674,22756,20.22,67.36
"2015-01-03 09:00:00+01:00",277.277,277.277,277.277,1045,87,2,54,0,0,0,0,800,clear,"sky is clear","01d","2015-01-03 09:00:00+01:00",433,0,0,4157,1415,226,0,0,0,1081,1380,4229,0,7097,76,68,820,197,0,7924,1080,8062,24595,24654,25.22,69.21
"2015-01-03 10:00:00+01:00",277.277,277.277,277.277,1045,87,2,54,0,0,0,0,800,clear,"sky is clear","01d","2015-01-03 10:00:00+01:00",419,0,0,3960,1597,249,0,0,0,341,1421,4827,0,7097,76,68,1665,205,0,7592,2015,7573,26431,26454,25.13,70.35
"2015-01-03 11:00:00+01:00",285.243,285.243,285.243,1045,88,2,64,0,0,0,0,800,clear,"sky is clear","01d","2015-01-03 11:00:00+01:00",431,0,0,3622,1569,250,0,0,0,325,1424,4429,0,7093,76,71,2488,202,0,7874,2935,7689,27260,26959,27.1,68.77
"2015-01-03 12:00:00+01:00",285.243,285.243,285.243,1045,88,2,64,0,0,0,0,800,clear,"sky is clear","01d","2015-01-03 12:00:00+01:00",425,0,0,3138,1379,247,0,0,0,409,1417,4309,0,7094,76,64,3218,202,0,8192,3406,8082,27165,26716,28.71,68.82
"2015-01-03 13:00:00+01:00",285.243,285.243,285.243,1045,88,2,64,0,0,0,0,800,clear,"sky is clear","01d","2015-01-03 13:00:00+01:00",427,0,0,3113,1193,249,0,0,0,1095,1390,3784,0,7095,76,64,3695,208,0,8718,3743,8571,27449,26802,25,68.23
"2015-01-03 14:00:00+01:00",285.243,285.243,285.243,1045,88,2,64,0,0,0,0,800,clear,"sky is clear","01d","2015-01-03 14:00:00+01:00",421,0,0,3114,1155,248,0,0,0,1750,1285,3709,0,7093,77,64,3780,210,0,9152,3756,9082,27154,26416,23.68,67.97
"2015-01-03 15:00:00+01:00",287.973,287.973,287.973,1043,77,3,58,0,0,0,0,800,clear,"sky is clear","01d","2015-01-03 15:00:00+01:00",410,0,0,2982,1137,206,0,0,0,2141,1277,3320,0,7092,76,62,3370,202,0,9382,3373,9168,26011,25362,14.87,62.76
"2015-01-03 16:00:00+01:00",286.747,286.747,286.747,1043,79,3,54,0,0,0,0,800,clear,"sky is clear","1","2015-01-03 16:00:00+01:00",397,0,0,2987,1205,190,0,0,0,2175,1279,3919,0,7092,76,61,2692,200,0,9307,2724,9502,25162,24770,11.7,62.03
"2015-01-03 17:00:00+01:00",287.197,287.197,287.197,1037,70,2,50,0,0,0,0,800,clear,"sky is clear","1","2015-01-03 17:00:00+01:00",393,0,0,3169,1289,190,0,0,0,1936,1302,4256,0,7095,77,59,1931,201,0,8892,1852,9020,24691,24501,19.52,66.69
"2015-01-03 18:00:00+01:00",285.133,285.133,285.133,1040,78,2,46,0,0,0,0,800,clear,"sky is clear","1","2015-01-03 18:00:00+01:00",418,0,0,3221,1399,218,0,0,0,1271,1478,4812,0,7094,78,62,1015,212,0,8568,741,8641,25293,24992,25.13,71.5
"2015-01-03 19:00:00+01:00",283.068,283.068,283.068,1042,87,2,43,0,0,0,0,800,clear,"sky is clear","01n","2015-01-03 19:00:00+01:00",458,0,0,3033,1539,243,0,0,0,129,1544,5753,0,7094,79,66,502,222,0,9005,103,8863,28421,27964,39.71,72.14
"2015-01-03 20:00:00+01:00",278.652,278.652,278.652,1043,87,1,38,0,0,0,0,800,clear,"sky is clear","01n","2015-01-03 20:00:00+01:00",462,0,0,3136,1555,244,0,0,0,0,1583,5946,0,7096,81,67,355,221,0,9672,111,9619,30293,29694,44,72.45
"2015-01-03 21:00:00+01:00",278.652,278.652,278.652,1043,87,1,38,0,0,0,0,800,clear,"sky is clear","01n","2015-01-03 21:00:00+01:00",462,0,0,3061,1507,245,0,0,0,0,1572,5985,0,7095,82,69,291,221,0,10081,157,10158,30828,29874,41.21,72.86
"2015-01-03 22:00:00+01:00",278.652,278.652,278.652,1043,87,1,38,0,0,0,0,800,clear,"sky is clear","01n","2015-01-03 22:00:00+01:00",463,0,0,3224,1441,247,0,0,0,117,1546,5519,0,7094,82,71,207,219,0,10537,136,10370,29896,28979,35.69,70.1
"2015-01-03 23:00:00+01:00",276.018,276.018,276.018,1042,80,1,29,0,0,0,0,800,clear,"sky is clear","01n","2015-01-03 23:00:00+01:00",456,0,0,3529,1291,248,0,0,0,587,1502,4505,0,7094,83,70,117,217,0,10953,78,10857,27700,26863,30.23,67.62
"2015-01-04 00:00:00+01:00",276.018,276.018,276.018,1042,80,1,29,0,0,0,0,800,clear,"sky is clear","01n","2015-01-04 00:00:00+01:00",391,0,0,3981,2559,323,0,0,0,1045,1502,1991,0,7086,81,58,692,162,0,8540,584,8564,25481,25254,24.65,55.22
"2015-01-04 01:00:00+01:00",276.018,276.018,276.018,1042,80,1,29,0,0,0,0,800,clear,"sky is clear","01n","2015-01-04 01:00:00+01:00",351,0,0,3997,2755,310,0,0,0,1257,1494,1867,0,7087,81,58,684,160,0,8080,640,8335,23734,23620,20.2,50.54
"2015-01-04 02:00:00+01:00",277.093,277.093,277.093,1041,78,3,49,0,0,0,0,800,clear,"sky is clear","01n","2015-01-04 02:00:00+01:00",350,0,0,3787,2678,306,0,0,0,1629,1484,1414,0,7086,81,57,648,161,0,7773,551,7816,22658,22606,19.16,48.68
"2015-01-04 03:00:00+01:00",277.093,277.093,277.093,1041,78,3,49,0,0,0,0,800,clear,"sky is clear","01n","2015-01-04 03:00:00+01:00",366,0,0,3724,2426,311,0,0,0,1962,1472,1355,0,7086,82,56,640,162,0,7601,508,7802,22130,22191,21.9,48.02
"2015-01-04 04:00:00+01:00",277.093,277.093,277.093,1041,78,3,49,0,0,0,0,800,clear,"sky is clear","01n","2015-01-04 04:00:00+01:00",377,0,0,3578,2046,310,0,0,0,2185,1438,1431,0,7087,82,56,563,161,0,7584,445,7570,21879,21929,14.9,47.06
"2015-01-04 05:00:00+01:00",277.854,277.854,277.854,1040,87,4,58,0,0,0,0,800,clear,"sky is clear","01n","2015-01-04 05:00:00+01:00",372,0,0,3676,2248,310,0,0,0,1795,1457,1534,0,7086,82,58,372,157,0,7812,288,7595,22230,22195,24.65,46.79
"2015-01-04 06:00:00+01:00",277.854,277.854,277.854,1040,87,4,58,0,0,0,0,800,clear,"sky is clear","01n","2015-01-04 06:00:00+01:00",377,0,0,3702,2148,320,0,0,0,1341,1352,2284,0,7085,82,54,179,155,0,7950,134,7913,23903,24035,28.01,47.63
"2015-01-04 07:00:00+01:00",277.854,277.854,277.854,1040,87,4,58,0,0,0,0,800,clear,"sky is clear","01n","2015-01-04 07:00:00+01:00",396,0,0,3569,2100,325,0,0,0,378,1433,3188,0,7086,82,56,129,156,0,8228,33,8239,26742,26807,27.51,47.44
"2015-01-04 08:00:00+01:00",278.761,278.761,278.761,1041,84,3,60,0,0,0,0,800,clear,"sky is clear","01n","2015-01-04 08:00:00+01:00",415,0,0,3314,2143,359,0,0,0,0,1561,3521,0,7080,83,53,357,156,0,8341,379,8275,28481,28316,33.96,50.84
"2015-01-04 09:00:00+01:00",278.761,278.761,278.761,1041,84,3,60,0,0,0,0,800,clear,"sky is clear","01d","2015-01-04 09:00:00+01:00",418,0,0,3183,2244,368,0,0,0,0,1573,4286,0,7080,84,54,1634,159,0,8569,1381,8320,29705,29871,38,54.84
"2015-01-04 10:00:00+01:00",278.761,278.761,278.761,1041,84,3,60,0,0,0,0,800,clear,"sky is clear","01d","2015-01-04 10:00:00+01:00",402,0,0,3168,2209,370,0,0,0,17,1451,3921,0,7079,85,55,3830,162,0,8433,3378,8529,30656,30585,37.17,59.95
"2015-01-04 11:00:00+01:00",278.761,278.761,278.761,1041,84,3,60,0,0,0,0,800,clear,"sky is clear","01d","2015-01-04 11:00:00+01:00",411,0,0,3207,2303,371,0,0,0,119,1519,4023,0,7083,84,60,4937,161,0,8001,4727,8199,30717,30772,35.01,59.35
"2015-01-04 12:00:00+01:00",286.936,286.936,286.936,1040,82,2,56,0,0,0,0,800,clear,"sky is clear","01d","2015-01-04 12:00:00+01:00",403,0,0,3279,2307,371,0,0,0,72,1533,3997,0,7085,85,57,5302,165,0,7520,5221,7698,30616,30685,38,57.03
"2015-01-04 13:00:00+01:00",286.936,286.936,286.936,1040,82,2,56,0,0,0,0,800,clear,"sky is clear","01d","2015-01-04 13:00:00+01:00",407,0,0,3295,2353,362,0,0,0,69,1591,3760,0,7087,86,58,5590,158,0,7274,5765,7274,30287,30429,38.12,59.22
"2015-01-04 14:00:00+01:00",288.214,288.214,288.214,1039,77,1,58,0,0,0,0,800,clear,"sky is clear","1","2015-01-04 14:00:00+01:00",393,0,0,3141,2324,369,0,0,0,69,1529,3077,0,7085,85,60,5668,150,0,6878,5661,7008,29451,28741,30.4,58.56
"2015-01-04 15:00:00+01:00",289.492,289.492,289.492,1039,72,1,61,0,0,0,0,800,clear,"sky is clear","01d","2015-01-04 15:00:00+01:00",400,0,0,3118,2164,365,0,0,0,69,1495,2602,0,7083,85,59,5593,149,0,7517,5540,7263,28730,28249,27.58,52.07
"2015-01-04 16:00:00+01:00",289.492,289.492,289.492,1039,72,1,61,0,0,0,0,800,clear,"sky is clear","01d","2015-01-04 16:00:00+01:00",397,0,0,3131,2049,374,0,0,0,112,1459,2553,0,7080,85,57,5316,147,0,7999,5319,7886,28393,28105,27.56,52.15
"2015-01-04 17:00:00+01:00",286.301,286.301,286.301,1039,78,1,167,0,0,0,0,800,clear,"sky is clear","1","2015-01-04 17:00:00+01:00",393,0,0,3303,2104,383,0,0,0,251,1435,2925,0,7079,87,59,4907,152,0,8181,4766,8191,28062,27908,27.5,61.12
"2015-01-04 18:00:00+01:00",283.11,283.11,283.11,1038,84,1,273,0,0,0,0,800,clear,"sky is clear","01n","2015-01-04 18:00:00+01:00",402,0,0,3368,2098,381,0,0,0,506,1435,3446,0,7078,84,61,4200,153,0,8260,3965,8321,27317,27577,26.53,71.98
